
COMPARE  A=2026-08-31_B_pop_on_t050_uv  B=2026-08-31_A_pop_off_t050_uv
------------------------------------------------------------------------
cells in both            208
Pearson r, all cells     +0.9941
mean |A - B|             0.1181

per outcome              r        mean|A-B|   mean A   mean B
  behavior_mean         +0.9929      0.0594    1.289    1.297
  belief_post           +0.9970      0.0703    2.061    2.014
  concern_mean          +0.9955      0.0961    2.230    2.233
  distrust_post         +0.9970      0.1094   -3.254   -3.170
  donation_ams          +0.9872      0.0164    0.247    0.256
  funding_perceptions   +0.8919      0.3328    1.775    1.617
  inst_trust_mean       +0.9695      0.1766    1.470    1.512
  newsletter_signup     +0.9955      0.0010    0.017    0.016
  policy_general        +0.9967      0.0859    2.199    2.251
  policy_role_mean      +0.9939      0.1617    1.798    1.689
  policy_specific_mean  +0.9956      0.0508    2.048    2.076
  trust_multidimensional+0.9948      0.2039    2.596    2.780
  trust_post            +0.9911      0.1711    2.804    2.895

