
COMPARE  A=2026-08-30_B_pop_on_v2  B=2026-08-30_A_pop_off_v2
------------------------------------------------------------------------
cells in both            208
Pearson r, all cells     +0.9873
mean |A - B|             0.2044

per outcome              r        mean|A-B|   mean A   mean B
  behavior_mean         +0.9965      0.0484    1.241    1.251
  belief_post           +0.9930      0.1445    2.080    2.170
  concern_mean          +0.9921      0.1617    2.191    2.173
  distrust_post         +0.8884      0.7289   -3.217   -3.902
  donation_ams          +0.9843      0.0129    0.206    0.207
  funding_perceptions   +0.9749      0.1555    1.295    1.238
  inst_trust_mean       +0.9926      0.0922    1.495    1.448
  newsletter_signup     +0.9860      0.0018    0.019    0.017
  policy_general        +0.9842      0.1898    2.139    2.062
  policy_role_mean      +0.9715      0.2805    1.909    1.766
  policy_specific_mean  +0.9791      0.1641    2.037    1.962
  trust_multidimensional+0.9716      0.3336    2.395    2.645
  trust_post            +0.9476      0.3438    2.970    3.153

